Freq,Freq_err,dip1,udip1,dip2,udip2,dip3,udip3,dip4,udip4
MHz,MHz,T,T,T,T,T,T,T,T
13.1,0,1.85060790e-03,1.95482634e-05,1.85792585e-03,1.95492307e-05,1.86521898e-03,1.95505305e-05,1.87231367e-03,1.95524691e-05
10.8,0,1.53853849e-03,1.60640611e-05,1.54374787e-03,1.60662944e-05,1.54833709e-03,1.60669961e-05,1.55360849e-03,1.60686763e-05
6.7,0,9.56380685e-04,9.76949836e-06,9.58092339e-04,9.77041526e-06,9.59928027e-04,9.77261010e-06,9.61813327e-04,9.77254794e-06
5.5,0,7.93230404e-04,8.36640154e-06,7.94520347e-04,8.36664991e-06,7.95711063e-04,8.36695905e-06,7.97050619e-04,8.36713769e-06
3.7,0,5.38404774e-04,5.52650478e-06,5.38826486e-04,5.52671588e-06,5.39496264e-04,5.52671130e-06,5.40042009e-04,5.52701192e-06
2.5,0,3.51345875e-04,5.55454767e-06,3.51566034e-04,5.55714374e-06,3.51866813e-04,5.55654318e-06,3.52065266e-04,5.55486982e-06
3.6,0,5.06749829e-04,8.05233050e-06,5.07289372e-04,8.05284456e-06,5.07866125e-04,8.05355777e-06,5.08368459e-04,8.05451853e-06
7,0,9.87475873e-04,1.62524321e-05,9.89683659e-04,1.62553311e-05,9.91593766e-04,1.62535164e-05,9.93751940e-04,1.62551816e-05
13.4,0,1.88898773e-03,3.09246255e-05,1.89670258e-03,3.09259190e-05,1.90421898e-03,3.09287992e-05,1.91220670e-03,3.09288035e-05
13.6,0,1.91660060e-03,3.12327511e-05,1.92448909e-03,3.12341786e-05,1.93253883e-03,3.12350147e-05,1.94049554e-03,3.12363320e-05
10.3,0,1.45308341e-03,2.40321790e-05,1.45744317e-03,2.40322050e-05,1.46191456e-03,2.40322400e-05,1.46637354e-03,2.40322954e-05
8.8,0,1.24183090e-03,2.05552111e-05,1.24503095e-03,2.05552556e-05,1.24826201e-03,2.05551378e-05,1.25149307e-03,2.05557424e-05
8.8,0,1.26011323e-03,2.45463722e-05,1.26331601e-03,2.45464392e-05,1.26654982e-03,2.45463419e-05,1.26978363e-03,2.45468221e-05
